Year	DOY	Hour	Min	 Dectime	RSS_Paved	RSS_Bldgs	RSS_EveTr	RSS_DecTr	RSS_Grass	RSS_BSoil	RSS_Water	state_Paved	state_Bldgs	state_EveTr	state_DecTr	state_Grass	state_BSoil	state_Water	      RS	      RA	      RB	  RAsnow	 vpd_hPa	  avdens	    avcp	    qn_e	   s_hPa	psyc_hPa
2012	  1	   1	  0	  0.0417	   212.10	   476.81	   249.38	    87.83	   288.56	   835.12	     0.00	       0.26	       0.15	       0.71	       0.65	       0.72	       0.15	   20000.00	 8023.50	   72.75	    7.56	    0.00	    1.92	    1.23	 1011.63	   -2.00	    0.89	    0.66
2012	  1	   2	  0	  0.0833	   317.77	   862.09	   374.42	   143.55	   430.68	  1451.37	     0.00	       0.25	       0.12	       0.67	       0.61	       0.68	       0.12	   20000.00	20871.93	   98.57	    8.24	    0.00	    2.01	    1.23	 1011.65	   -2.29	    0.90	    0.66
2012	  1	   3	  0	  0.1250	   283.17	   862.02	   340.36	   139.11	   389.33	  1404.73	     0.00	       0.24	       0.10	       0.64	       0.58	       0.64	       0.11	   20000.00	10000.00	   83.59	    7.92	    0.00	    1.86	    1.23	 1011.69	   -1.48	    0.89	    0.66
2012	  1	   4	  0	  0.1667	   262.48	   886.06	   322.09	   140.33	   366.55	  1412.78	     0.00	       0.23	       0.09	       0.60	       0.54	       0.61	       0.09	   20000.00	10000.00	   72.46	    7.66	    0.00	    1.75	    1.23	 1011.66	   -1.08	    0.88	    0.66
2012	  1	   5	  0	  0.2083	   261.56	   951.70	   328.35	   150.77	   371.92	  1486.27	     0.00	       0.22	       0.08	       0.57	       0.51	       0.58	       0.08	   20000.00	10000.00	   68.41	    7.52	    0.00	    1.85	    1.23	 1011.57	   -1.82	    0.88	    0.66
2012	  1	   6	  0	  0.2500	   299.23	  1150.29	   383.51	   186.32	   431.91	  1740.93	     0.00	       0.21	       0.07	       0.54	       0.47	       0.55	       0.07	   20000.00	10000.00	   74.07	    7.63	    0.00	    2.06	    1.23	 1011.44	   -3.07	    0.88	    0.66
2012	  1	   7	  0	  0.2917	   382.26	  1620.33	   505.83	   253.76	   568.53	  2485.63	     0.00	       0.21	       0.06	       0.51	       0.45	       0.52	       0.07	   20000.00	136547.21	   89.44	    8.01	    0.00	    2.22	    1.23	 1011.29	   -4.21	    0.87	    0.66
2012	  1	   8	  0	  0.3333	   284.44	  1107.62	   373.94	   205.19	   414.58	  1659.34	     0.00	       0.20	       0.06	       0.49	       0.42	       0.50	       0.06	   20000.00	35422.77	   93.43	    8.13	    0.00	    2.28	    1.23	 1011.15	   -3.67	    0.86	    0.66
2012	  1	   9	  0	  0.3750	    48.69	    72.92	    54.44	    42.27	    56.41	    75.50	     0.00	       0.19	       0.04	       0.45	       0.39	       0.46	       0.05	   20000.00	   81.07	   93.50	    8.30	    0.00	    2.23	    1.23	 1011.07	    5.05	    0.85	    0.66
2012	  1	  10	  0	  0.4167	    21.94	    32.67	    23.68	    19.71	    24.32	    32.31	     0.00	       0.16	       0.01	       0.40	       0.33	       0.41	       0.01	   20000.00	   32.11	   57.46	    7.52	    0.00	    2.24	    1.23	 1011.04	   22.98	    0.85	    0.66
2012	  1	  11	  0	  0.4583	     1.55	    30.56	     1.63	     1.41	     1.66	    29.47	     0.00	       0.11	       0.00	       0.31	       0.25	       0.32	       0.00	   20000.00	   23.56	   47.43	    7.12	    0.00	    2.58	    1.23	 1010.99	   36.59	    0.86	    0.66
2012	  1	  12	  0	  0.5000	    10.54	    30.56	     9.70	     9.46	     9.77	    29.47	     0.00	       0.04	       0.00	       0.21	       0.15	       0.22	       0.00	   20000.00	   25.13	   47.68	    7.03	    0.00	    3.07	    1.23	 1010.84	   29.06	    0.87	    0.66
2012	  1	  13	  0	  0.5417	    27.78	    30.56	    29.51	    29.72	    29.61	    29.47	     0.00	       0.00	       0.00	       0.12	       0.06	       0.13	       0.00	   20000.00	   32.14	   57.76	    7.28	    0.00	    3.32	    1.22	 1010.71	   16.64	    0.87	    0.65
2012	  1	  14	  0	  0.5833	    38.38	    39.07	    41.49	    40.73	    41.76	    41.62	     0.00	       0.07	       0.07	       0.15	       0.10	       0.16	       0.07	   20000.00	   46.32	  121.99	    8.70	    0.00	    3.24	    1.22	 1010.74	    8.30	    0.87	    0.65
2012	  1	  15	  0	  0.6250	     4.11	     4.27	    12.45	     6.93	    13.87	    29.35	     0.00	       0.86	       0.74	       2.32	       2.29	       2.33	       0.74	   20000.00	  174.85	  200.00	   10.31	    0.00	    2.51	    1.22	 1011.00	    0.34	    0.86	    0.65
2012	  1	  16	  0	  0.6667	     0.00	     0.00	     0.00	     0.00	     0.00	    72.34	     0.00	       1.01	       0.74	       3.37	       3.37	       3.37	       0.74	   20000.00	  533.69	  200.00	   10.31	    0.00	    1.68	    1.22	 1011.22	    1.45	    0.83	    0.65
2012	  1	  17	  0	  0.7083	    -0.00	    59.20	    -0.00	    -0.00	    -0.00	   341.97	    -0.00	       1.01	       0.54	       2.92	       2.92	       2.92	       0.54	   20000.00	16156.01	  200.00	   10.31	    0.00	    1.42	    1.23	 1011.16	    0.57	    0.81	    0.65
2012	  1	  18	  0	  0.7500	     0.00	   507.21	     0.00	     0.00	     0.00	  1065.74	     0.00	       0.77	       0.29	       2.33	       2.33	       2.33	       0.29	   20000.00	48357.60	  200.00	   10.31	    0.00	    1.39	    1.23	 1011.08	   -0.22	    0.80	    0.65
2012	  1	  19	  0	  0.7917	     0.65	   636.27	     0.00	     0.00	    15.18	  1235.37	     0.00	       0.61	       0.23	       1.93	       1.93	       1.93	       0.23	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.43	    1.23	 1011.03	   -1.01	    0.80	    0.65
2012	  1	  20	  0	  0.8333	    38.40	   615.29	    12.86	     0.00	    50.10	  1162.56	     0.00	       0.54	       0.21	       1.73	       1.73	       1.74	       0.21	   20000.00	10000.00	  161.70	    9.69	    0.00	    1.55	    1.23	 1010.89	   -2.31	    0.79	    0.65
2012	  1	  21	  0	  0.8750	    78.12	   795.92	    50.55	     0.00	    86.16	  1385.73	     0.00	       0.47	       0.15	       1.52	       1.52	       1.52	       0.15	   20000.00	10000.00	  129.92	    9.07	    0.00	    1.69	    1.23	 1010.69	   -3.87	    0.78	    0.65
2012	  1	  22	  0	  0.9167	   103.64	   921.66	    78.37	     0.00	   113.84	  1546.71	     0.00	       0.42	       0.12	       1.37	       1.37	       1.37	       0.12	   20000.00	10000.00	  118.90	    8.68	    0.00	    1.97	    1.23	 1010.37	   -6.48	    0.76	    0.65
2012	  1	  23	  0	  0.9583	    93.12	   784.47	    76.38	    -0.00	   103.07	  1300.07	    -0.00	       0.39	       0.10	       1.24	       1.24	       1.25	       0.10	   20000.00	10000.00	   82.72	    7.80	    0.00	    2.20	    1.23	 1010.03	   -8.98	    0.74	    0.65
2012	  2	   0	  0	  1.0000	   188.85	  1419.07	   166.98	     0.00	   213.79	  2183.98	     0.00	       0.36	       0.09	       1.14	       1.12	       1.14	       0.09	   20000.00	10000.00	  141.64	    8.99	    0.00	    2.13	    1.24	 1009.82	   -9.65	    0.71	    0.65
2012	  2	   1	  0	  1.0417	   287.78	  2033.41	   268.54	     0.00	   336.03	  3027.22	     0.00	       0.34	       0.08	       1.06	       1.04	       1.06	       0.08	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.97	    1.24	 1009.66	   -9.78	    0.69	    0.65
2012	  2	   2	  0	  1.0833	   314.62	  2151.20	   306.81	     9.14	   377.25	  3171.61	     0.00	       0.33	       0.07	       0.99	       0.98	       1.00	       0.08	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.92	    1.24	 1009.52	  -10.37	    0.67	    0.65
2012	  2	   3	  0	  1.1250	   339.47	  2258.50	   344.11	    33.68	   417.45	  3301.10	     0.00	       0.31	       0.07	       0.94	       0.92	       0.94	       0.07	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.88	    1.24	 1009.40	  -10.83	    0.66	    0.65
2012	  2	   4	  0	  1.1667	   361.42	  2351.17	   379.54	    57.70	   455.53	  3411.15	     0.00	       0.30	       0.07	       0.88	       0.87	       0.89	       0.07	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.77	    1.25	 1009.29	  -10.81	    0.64	    0.65
2012	  2	   5	  0	  1.2083	   381.90	  2436.50	   414.41	    81.13	   493.03	  3511.56	     0.00	       0.29	       0.06	       0.84	       0.82	       0.84	       0.07	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.70	    1.25	 1009.19	  -10.99	    0.62	    0.65
2012	  2	   6	  0	  1.2500	   401.63	  2517.92	   449.32	   104.28	   530.64	  3606.52	     0.00	       0.28	       0.06	       0.80	       0.78	       0.80	       0.06	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.70	    1.25	 1009.08	  -11.51	    0.61	    0.65
2012	  2	   7	  0	  1.2917	   421.26	  2598.65	   484.98	   127.51	   569.12	  3699.78	     0.00	       0.27	       0.06	       0.76	       0.74	       0.76	       0.06	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.78	    1.25	 1008.95	  -12.53	    0.60	    0.65
