Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2011	 11	  23	 55	 10.9965	   12.91	    0.00	      5.35	    4.33	    7.80	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    2.17	    7.47	    7.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.22	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         88.92	    0.34	    0.31	  -31.41
2011	 12	  23	 55	 11.9965	    9.59	    0.00	      8.67	    5.20	    7.80	    0.00	     1.47	     1.47	     1.47	  -450.00	  -450.00	  -450.00	    3.07	   11.87	    6.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.22	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         96.07	    0.34	    0.31	  -31.41
2011	 13	  23	 55	 12.9965	    6.82	    0.00	     11.44	    6.45	    3.20	    0.00	     6.93	     6.93	     6.93	  -450.00	  -450.00	  -450.00	   10.67	   12.27	    6.83	     4.01	     1.01	     1.61	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.21	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        103.08	    0.34	    0.31	  -31.41
2011	 14	  23	 55	 13.9965	    8.11	    0.00	     10.15	    7.19	    4.80	    0.00	    10.45	    10.45	    10.45	  -450.00	  -450.00	  -450.00	    7.57	   11.47	    6.42	     4.02	     1.02	     1.62	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.21	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        109.95	    0.34	    0.31	  -31.41
2011	 15	  23	 55	 14.9965	    8.28	    0.00	      9.98	    7.75	    0.40	    0.00	    13.61	    13.61	    13.61	  -450.00	  -450.00	  -450.00	    7.57	   10.77	    6.75	     4.03	     1.03	     1.63	    0.30	    0.99	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.21	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        116.68	    0.34	    0.31	  -31.41
2011	 16	  23	 55	 15.9965	    7.68	    0.00	     10.59	    8.32	    0.40	    0.00	    18.28	    18.28	    18.28	  -450.00	  -450.00	  -450.00	    9.77	   11.57	    7.50	     4.05	     1.05	     1.65	    0.31	    0.99	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.20	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        123.28	    0.34	    0.31	  -31.41
2011	 17	  23	 55	 16.9965	   11.21	    0.00	      7.05	    8.06	   21.63	    0.00	    19.89	    19.89	    19.89	  -450.00	  -450.00	  -450.00	    5.47	    9.77	    6.33	     4.07	     1.07	     1.67	    0.31	    0.98	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.20	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        129.75	    0.34	    0.31	  -31.41
2011	 18	  23	 55	 17.9965	   14.43	    0.00	      3.83	    7.22	   10.17	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.20	    6.17	    8.33	     4.07	     1.07	     1.67	    0.31	    0.98	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.20	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        136.09	    0.34	    0.31	  -31.41
2011	 19	  23	 55	 18.9965	   17.43	    0.00	      0.83	    5.94	    0.00	    1.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -2.23	    5.77	    8.33	     4.07	     1.07	     1.67	    0.31	    0.98	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.19	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        142.31	    0.34	    0.31	  -31.41
2011	 20	  23	 55	 19.9965	   15.65	    0.00	      2.61	    5.27	    0.00	    2.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.37	    4.57	    8.00	     4.07	     1.07	     1.67	    0.31	    0.98	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.19	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        148.40	    0.34	    0.31	  -31.41
2011	 21	  23	 55	 20.9965	   17.25	    0.00	      1.01	    4.42	    0.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -2.03	    3.97	    8.42	     4.07	     1.07	     1.67	    0.31	    0.98	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.19	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        154.37	    0.34	    0.31	  -31.41
2011	 22	  23	 55	 21.9965	   15.37	    0.00	      2.89	    4.12	    0.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -0.83	    5.97	    7.75	     4.07	     1.07	     1.67	    0.31	    0.98	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.28	    0.19	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        160.23	    0.34	    0.31	  -31.41
