Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2012	  1	   1	  0	  0.0417	   36.54	  -20.57	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  348.96	  412.92	  378.58	  378.58	  378.58	  378.58	   12.75	   11.68	    1.00	    0.00	    0.00	    0.82	    0.82	   11.69	   11.05
2012	  1	   2	  0	  0.0833	   21.50	  -18.32	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  349.34	  414.03	  379.29	  379.29	  379.29	  379.29	   12.88	   11.82	    1.00	    0.00	    0.00	    0.82	    0.82	   11.82	   11.11
2012	  1	   3	  0	  0.1250	   35.63	  -13.90	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  349.78	  413.27	  379.22	  379.22	  379.22	  379.22	   12.87	   11.73	    1.00	    0.00	    0.00	    0.82	    0.82	   11.73	   11.07
2012	  1	   4	  0	  0.1667	   48.73	   -7.64	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  349.33	  411.40	  378.11	  378.11	  378.11	  378.11	   12.66	   11.55	    1.00	    0.00	    0.00	    0.82	    0.82	   11.55	   10.91
2012	  1	   5	  0	  0.2083	   60.87	    0.44	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  353.73	  410.67	  377.00	  377.00	  377.00	  377.00	   12.52	   24.33	    0.77	    0.58	    0.58	    0.82	    0.82	   11.49	   10.85
2012	  1	   6	  0	  0.2500	   72.39	    8.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  356.05	  410.66	  375.95	  375.95	  375.95	  375.95	   12.37	  135.49	    0.34	    1.00	    1.00	    0.82	    0.82	   11.47	   10.87
2012	  1	   7	  0	  0.2917	   83.74	   17.69	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  353.87	  410.34	  374.52	  374.52	  374.52	  374.52	   12.10	  272.76	    0.23	    1.00	    1.00	    0.82	    0.82	   11.34	   10.94
2012	  1	   8	  0	  0.3333	   95.52	   26.97	     2.17	      0.00	     2.17	    1.80	    0.18	    2.17	    2.17	    2.17	    2.17	  351.92	  409.50	  373.02	  373.02	  373.02	  373.02	   12.10	  407.02	    0.17	    1.00	    1.00	    0.82	    0.82	   11.13	   11.00
2012	  1	   9	  0	  0.3750	  108.53	   36.05	    18.51	      0.00	    18.51	   15.38	    1.54	   18.51	   18.51	   18.51	   18.51	  350.74	  408.66	  371.98	  371.98	  371.98	  371.98	   13.97	  528.29	    0.16	    1.00	    1.00	    0.82	    0.82	   10.92	   11.05
2012	  1	  10	  0	  0.4167	  123.83	   44.38	    52.63	      0.00	    52.63	   43.74	    4.37	   52.63	   52.63	   52.63	   52.63	  350.47	  409.51	  372.16	  372.16	  372.16	  372.16	   18.19	  628.11	    0.18	    1.00	    1.00	    0.82	    0.82	   10.86	   11.26
2012	  1	  11	  0	  0.4583	  142.69	   51.14	    82.04	      0.00	    82.04	   68.19	    6.82	   82.04	   82.04	   82.04	   82.04	  350.19	  413.09	  373.42	  373.42	  373.42	  373.42	   21.90	  699.86	    0.19	    1.00	    1.00	    0.82	    0.82	   11.13	   11.64
2012	  1	  12	  0	  0.5000	  165.67	   55.19	    72.46	      0.00	    72.46	   60.24	    6.02	   72.46	   72.46	   72.46	   72.46	  348.42	  414.91	  373.08	  373.08	  373.08	  373.08	   20.73	  738.87	    0.16	    1.00	    1.00	    0.82	    0.82	   11.36	   11.73
2012	  1	  13	  0	  0.5417	  190.85	   55.46	    49.56	      0.00	    49.56	   41.21	    4.12	   49.56	   49.56	   49.56	   49.56	  346.54	  414.37	  371.75	  371.75	  371.75	  371.75	   17.78	  742.00	    0.13	    1.00	    1.00	    0.82	    0.82	   11.37	   11.63
2012	  1	  14	  0	  0.5833	  214.31	   51.87	    31.24	      0.00	    31.24	   25.97	    2.60	   31.24	   31.24	   31.24	   31.24	  346.46	  412.34	  370.89	  370.89	  370.89	  370.89	   15.37	  708.45	    0.12	    1.00	    1.00	    0.82	    0.82	   11.33	   11.30
2012	  1	  15	  0	  0.6250	  233.73	   45.40	     8.33	      0.00	     8.33	    6.93	    0.69	    8.33	    8.33	    8.33	    8.33	  348.32	  402.93	  368.26	  368.26	  368.26	  368.26	   11.97	  640.23	    0.11	    1.00	    1.00	    0.82	    0.82	   11.02	    9.91
2012	  1	  16	  0	  0.6667	  249.44	   37.22	     2.39	      0.00	     2.39	    1.98	    0.20	    2.39	    2.39	    2.39	    2.39	  351.24	  400.35	  368.98	  368.98	  368.98	  368.98	   11.33	  543.12	    0.13	    1.00	    1.00	    0.82	    0.82	   10.53	    9.94
2012	  1	  17	  0	  0.7083	  262.68	   28.19	     0.29	      0.00	     0.29	    0.24	    0.02	    0.29	    0.29	    0.29	    0.29	  349.94	  396.82	  366.79	  366.79	  366.79	  366.79	   10.64	  424.41	    0.16	    1.00	    1.00	    0.82	    0.82	   10.09	    9.72
2012	  1	  18	  0	  0.7500	  274.57	   18.90	     0.01	      0.00	     0.01	    0.01	    0.00	    0.01	    0.01	    0.01	    0.01	  348.59	  395.55	  365.49	  365.49	  365.49	  365.49	   10.35	  291.32	    0.22	    1.00	    1.00	    0.82	    0.82	    9.86	    9.71
2012	  1	  19	  0	  0.7917	  285.93	    9.78	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  347.70	  394.55	  364.55	  364.55	  364.55	  364.55	   10.16	  153.32	    0.32	    1.00	    1.00	    0.82	    0.82	    9.81	    9.58
